# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle[...];kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil[...];IFACE;rxerr/s;txerr/s;coll/s;rxdrop/s;txdrop/s;txcarr/s;rxfram/s;rxfifo/s;txfifo/s[...];call/s;retrans/s;read/s;write/s;access/s;getatt/s;scall/s;badcall/s;packet/s;udp/s;tcp/s;hit/s;miss/s;sread/s;swrite/s;saccess/s;sgetatt/s;totsck;tcpsck;udpsck;rawsck;ip-frag;tcp-tw;irec/s;fwddgm/s;idel/s;orq/s;asmrq/s;asmok/s;fragok/s;fragcrt/s;ihdrerr/s;iadrerr/s;iukwnpr/s;idisc/s;odisc/s;onort/s;asmf/s;fragf/s;imsg/s;omsg/s;iech/s;iechr/s;oech/s;oechr/s;itm/s;itmr/s;otm/s;otmr/s;iadrmk/s;iadrmkr/s;oadrmk/s;oadrmkr/s;ierr/s;oerr/s;idstunr/s;odstunr/s;itmex/s;otmex/s;iparmpb/s;oparmpb/s;isrcq/s;osrcq/s;iredir/s;oredir/s;active/s;passive/s;iseg/s;oseg/s;atmptf/s;estres/s;retrans/s;isegerr/s;orsts/s;idgm/s;odgm/s;noport/s;idgmerr/s;tcp6sck;udp6sck;raw6sck;ip6-frag;irec6/s;fwddgm6/s;idel6/s;orq6/s;asmrq6/s;asmok6/s;imcpck6/s;omcpck6/s;fragok6/s;fragcr6/s;ihdrer6/s;iadrer6/s;iukwnp6/s;i2big6/s;idisc6/s;odisc6/s;inort6/s;onort6/s;asmf6/s;fragf6/s;itrpck6/s;imsg6/s;omsg6/s;iech6/s;iechr6/s;oechr6/s;igmbq6/s;igmbr6/s;ogmbr6/s;igmbrd6/s;ogmbrd6/s;irtsol6/s;ortsol6/s;irtad6/s;inbsol6/s;onbsol6/s;inbad6/s;onbad6/s;ierr6/s;idtunr6/s;odtunr6/s;itmex6/s;otmex6/s;iprmpb6/s;oprmpb6/s;iredir6/s;oredir6/s;ipck2b6/s;opck2b6/s;idgm6/s;odgm6/s;noport6/s;idgmer6/s;CPU;total/s;dropd/s;squeezd/s;rx_rps/s;flw_lim/s[...]
target;1;2023-05-24 19:48:49 UTC;-1;0,00;0,00;1,03;0,00;0,00;0,00;2,31;0,00;0,00;96,67;3429956;3580492;181864;4,53;28828;308780;498860;12,42;142332;260184;12;92828;68288;2592;1992;30712;enp0s3;4425,00;114,00;6527,05;7,37;0,00;0,00;0,00;5,35;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;188,00;0,00;188,00;114,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;188,00;114,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;188,00;0,00;1,00;0,00;0,00
target;1;2023-05-24 19:48:50 UTC;-1;0,00;0,00;6,13;0,28;0,00;0,00;20,89;0,00;0,00;72,70;3432192;3582728;179524;4,47;28828;308788;498860;12,42;142332;260184;20;92828;68384;2592;1992;30712;enp0s3;38296,00;725,00;56621,23;46,86;0,00;0,00;0,00;46,38;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1397,00;0,00;1397,00;725,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1397,00;725,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1397,00;0,00;19,00;0,00;0,00
target;1;2023-05-24 19:48:51 UTC;-1;0,00;0,00;6,76;0,00;0,00;0,00;17,75;0,00;0,00;75,49;3433280;3583816;178508;4,44;28828;308800;498860;12,42;142332;260184;32;92828;68300;2592;1992;30712;enp0s3;32035,64;560,40;47365,20;36,19;0,00;0,00;0,00;38,80;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1155,45;0,00;1155,45;561,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1155,45;561,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1155,45;0,00;21,78;0,00;0,00
target;1;2023-05-24 19:48:52 UTC;-1;0,00;0,00;5,98;0,00;0,00;0,00;18,80;0,00;0,00;75,21;3432156;3582692;179692;4,47;28828;308808;498860;12,42;142332;260184;40;92828;68232;2592;1992;30712;enp0s3;34722,00;601,00;51337,02;38,76;0,00;0,00;0,00;42,06;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1262,00;0,00;1262,00;600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1262,00;600,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1265,00;0,00;23,00;0,00;0,00
target;1;2023-05-24 19:48:53 UTC;-1;0,00;0,00;6,04;0,00;0,00;0,00;17,31;0,00;0,00;76,65;3433736;3584272;178000;4,43;28828;308816;498860;12,42;142332;260184;48;92828;68336;2592;1992;30712;enp0s3;41752,00;676,00;61730,98;43,62;0,00;0,00;0,00;50,57;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1460,00;0,00;1460,00;676,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1460,00;676,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1457,00;0,00;11,00;0,00;0,00
target;1;2023-05-24 19:48:54 UTC;-1;0,00;0,00;6,06;0,28;0,00;0,00;18,73;0,00;0,00;74,93;3431448;3581984;180228;4,49;28836;308828;498860;12,42;142332;260184;96;92828;68376;2592;1992;30712;enp0s3;40725,00;692,00;60212,55;44,65;0,00;0,00;0,00;49,33;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1451,00;0,00;1451,00;694,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1451,00;694,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1451,00;0,00;16,00;0,00;0,00
target;1;2023-05-24 19:48:55 UTC;-1;0,28;0,00;7,24;0,00;0,00;0,00;16,71;0,00;0,00;75,77;3430452;3580988;181312;4,51;28836;308836;498860;12,42;142332;260184;104;92828;68280;2592;1992;30712;enp0s3;36559,41;616,83;54053,65;39,85;0,00;0,00;0,00;44,28;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1315,84;0,00;1315,84;614,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1315,84;614,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1316,83;0,00;21,78;0,00;0,00
target;1;2023-05-24 19:48:56 UTC;-1;0,00;0,00;5,19;0,00;0,00;0,00;18,58;0,00;0,00;76,23;3431776;3582312;180020;4,48;28836;308844;498860;12,42;142332;260184;112;92828;68240;2592;1992;30712;enp0s3;37486,00;636,00;55423,64;41,00;0,00;0,00;0,00;45,40;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1352,00;0,00;1352,00;636,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1352,00;636,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1351,00;0,00;15,00;0,00;0,00
target;1;2023-05-24 19:48:57 UTC;-1;0,00;0,00;6,11;0,00;0,00;0,00;18,06;0,00;0,00;75,83;3432900;3583436;178800;4,45;28836;308852;498860;12,42;142332;260184;120;92828;68328;2592;1992;30712;enp0s3;39214,00;679,00;57978,51;43,83;0,00;0,00;0,00;47,50;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1408,00;0,00;1408,00;680,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1408,00;680,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1408,00;0,00;21,00;0,00;0,00
target;1;2023-05-24 19:48:58 UTC;-1;0,27;0,00;5,45;0,00;0,00;0,00;19,89;0,00;0,00;74,39;3431048;3581584;180624;4,50;28836;308864;498860;12,42;142332;260184;132;92828;68344;2592;1992;30712;enp0s3;40468,00;722,00;59832,57;46,57;0,00;0,00;0,00;49,01;enp0s3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152;2;2;0;0;0;1446,00;0,00;1446,00;721,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1446,00;721,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4;0;1;0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1;1446,00;0,00;17,00;0,00;0,00
